location,abbreviation,epiyear,epiweek,weighted_ili_now
04,AZ,2010,50,2.03229
05,AR,2010,50,1.71518
06,CA,2010,50,3.68582
08,CO,2010,50,1.01073
09,CT,2010,50,0.740189
10,DE,2010,50,0.540376
11,DC,2010,50,3.04102
12,FL,2010,50,2.0738
13,GA,2010,50,6.03253
15,HI,2010,50,2.36673
16,ID,2010,50,1.88053
17,IL,2010,50,1.66164
18,IN,2010,50,1.02196
19,IA,2010,50,0.558311
20,KS,2010,50,0.715086
21,KY,2010,50,0.442566
22,LA,2010,50,2.82171
23,ME,2010,50,0.238313
24,MD,2010,50,1.20919
25,MA,2010,50,1.05868
26,MI,2010,50,1.02442
27,MN,2010,50,1.08867
28,MS,2010,50,5.23825
29,MO,2010,50,1.63544
30,MT,2010,50,0.183809
31,NE,2010,50,1.15841
32,NV,2010,50,2.86574
33,NH,2010,50,0.307065
34,NJ,2010,50,2.19223
35,NM,2010,50,2.62092
36,NY,2010,50,2.60335
37,NC,2010,50,0.617559
38,ND,2010,50,0.71613
39,OH,2010,50,0.607656
40,OK,2010,50,3.70004
41,OR,2010,50,1.04207
42,PA,2010,50,1.21964
44,RI,2010,50,0.765544
45,SC,2010,50,0.493918
46,SD,2010,50,0.789904
47,TN,2010,50,1.02866
48,TX,2010,50,3.005
49,UT,2010,50,1.01733
50,VT,2010,50,0.970037
51,VA,2010,50,1.41281
53,WA,2010,50,1.01333
54,WV,2010,50,2.04849
55,WI,2010,50,0.982667
56,WY,2010,50,0.545409
HHS01,HHS01,2010,50,0.811866
HHS02,HHS02,2010,50,2.47663
HHS03,HHS03,2010,50,1.33704
HHS04,HHS04,2010,50,2.67715
HHS05,HHS05,2010,50,1.09208
HHS06,HHS06,2010,50,2.93211
HHS07,HHS07,2010,50,1.14383
HHS08,HHS08,2010,50,0.879927
HHS09,HHS09,2010,50,3.37458
HHS10,HHS10,2010,50,1.11652
US,US,2010,50,2.1185
01,AL,2010,51,16.5252
02,AK,2010,51,1.54896
04,AZ,2010,51,3.24122
05,AR,2010,51,2.19617
06,CA,2010,51,4.52627
08,CO,2010,51,1.09298
09,CT,2010,51,0.769491
10,DE,2010,51,0.113801
11,DC,2010,51,5.25873
12,FL,2010,51,3.50142
13,GA,2010,51,8.34359
15,HI,2010,51,3.1483
16,ID,2010,51,1.11824
17,IL,2010,51,2.32071
18,IN,2010,51,1.216
19,IA,2010,51,2.25407
20,KS,2010,51,0.940906
21,KY,2010,51,0.780194
22,LA,2010,51,4.4468
23,ME,2010,51,0.29627
24,MD,2010,51,2.2859
25,MA,2010,51,1.4336
26,MI,2010,51,0.510643
27,MN,2010,51,1.3971
28,MS,2010,51,13.7583
29,MO,2010,51,1.22866
30,MT,2010,51,0
31,NE,2010,51,4.95767
32,NV,2010,51,5.84841
33,NH,2010,51,0
34,NJ,2010,51,3.85987
35,NM,2010,51,2.7933
36,NY,2010,51,4.19175
37,NC,2010,51,0.686189
38,ND,2010,51,0.0425565
39,OH,2010,51,0.560212
40,OK,2010,51,4.68583
41,OR,2010,51,1.85489
42,PA,2010,51,1.62293
44,RI,2010,51,0.207106
45,SC,2010,51,1.32554
46,SD,2010,51,1.10847
47,TN,2010,51,2.66405
48,TX,2010,51,3.36072
49,UT,2010,51,1.60425
50,VT,2010,51,1.11316
51,VA,2010,51,2.007
53,WA,2010,51,0.420642
54,WV,2010,51,1.39169
55,WI,2010,51,0.385646
56,WY,2010,51,0.229622
HHS01,HHS01,2010,51,0.929354
HHS02,HHS02,2010,51,4.08945
HHS03,HHS03,2010,51,1.86808
HHS04,HHS04,2010,51,4.91858
HHS05,HHS05,2010,51,1.13716
HHS06,HHS06,2010,51,3.49963
HHS07,HHS07,2010,51,1.8879
HHS08,HHS08,2010,51,1.00432
HHS09,HHS09,2010,51,4.38382
HHS10,HHS10,2010,51,0.998097
US,US,2010,51,3.0319
01,AL,2010,52,13.5582
02,AK,2010,52,1.199
04,AZ,2010,52,2.87027
05,AR,2010,52,5.16097
06,CA,2010,52,5.06332
08,CO,2010,52,1.01985
09,CT,2010,52,1.20367
10,DE,2010,52,0.535203
11,DC,2010,52,7.16952
12,FL,2010,52,4.65731
13,GA,2010,52,7.73959
15,HI,2010,52,1.66127
16,ID,2010,52,2.59692
17,IL,2010,52,4.70157
18,IN,2010,52,1.71907
19,IA,2010,52,2.9096
20,KS,2010,52,0.932777
21,KY,2010,52,1.58949
22,LA,2010,52,4.50944
23,ME,2010,52,0.493475
24,MD,2010,52,3.56306
25,MA,2010,52,1.5433
26,MI,2010,52,1.07349
27,MN,2010,52,0.539008
28,MS,2010,52,16.3344
29,MO,2010,52,2.71847
30,MT,2010,52,0
31,NE,2010,52,2.67366
32,NV,2010,52,3.31283
33,NH,2010,52,0.285208
34,NJ,2010,52,7.09386
35,NM,2010,52,3.87354
36,NY,2010,52,2.61243
37,NC,2010,52,1.116
38,ND,2010,52,0.476623
39,OH,2010,52,0.941626
40,OK,2010,52,4.79084
41,OR,2010,52,2.71075
42,PA,2010,52,2.91991
44,RI,2010,52,0.768372
45,SC,2010,52,1.01237
46,SD,2010,52,1.48304
47,TN,2010,52,2.51294
48,TX,2010,52,4.91126
49,UT,2010,52,1.09417
50,VT,2010,52,1.45209
51,VA,2010,52,2.63626
53,WA,2010,52,0
54,WV,2010,52,1.15744
55,WI,2010,52,0.709715
56,WY,2010,52,2.05006
HHS01,HHS01,2010,52,1.1886
HHS02,HHS02,2010,52,3.99382
HHS03,HHS03,2010,52,2.87447
HHS04,HHS04,2010,52,5.15411
HHS05,HHS05,2010,52,1.93491
HHS06,HHS06,2010,52,4.81583
HHS07,HHS07,2010,52,2.38498
HHS08,HHS08,2010,52,0.990157
HHS09,HHS09,2010,52,4.56858
HHS10,HHS10,2010,52,1.11867
US,US,2010,52,3.53039
01,AL,2011,1,7.91679
02,AK,2011,1,1.63315
04,AZ,2011,1,0.950332
05,AR,2011,1,2.63573
06,CA,2011,1,4.29268
08,CO,2011,1,0.840923
09,CT,2011,1,0.837856
10,DE,2011,1,0.440893
11,DC,2011,1,8.7477
12,FL,2011,1,3.40386
13,GA,2011,1,4.82659
15,HI,2011,1,3.60471
16,ID,2011,1,2.4285
17,IL,2011,1,4.01524
18,IN,2011,1,2.2083
19,IA,2011,1,1.80996
20,KS,2011,1,1.26657
21,KY,2011,1,0.494529
22,LA,2011,1,5.69873
23,ME,2011,1,0.492264
24,MD,2011,1,3.61752
25,MA,2011,1,1.45546
26,MI,2011,1,1.22816
27,MN,2011,1,1.28373
28,MS,2011,1,6.68789
29,MO,2011,1,2.07851
30,MT,2011,1,0.118571
31,NE,2011,1,2.42882
32,NV,2011,1,2.53227
33,NH,2011,1,0.423078
34,NJ,2011,1,4.96279
35,NM,2011,1,3.54182
36,NY,2011,1,3.34643
37,NC,2011,1,1.8172
38,ND,2011,1,0.206582
39,OH,2011,1,1.1543
40,OK,2011,1,5.39345
41,OR,2011,1,3.67796
42,PA,2011,1,2.47438
44,RI,2011,1,1.24113
45,SC,2011,1,1.44423
46,SD,2011,1,1.48599
47,TN,2011,1,2.67987
48,TX,2011,1,2.70553
49,UT,2011,1,0.824575
50,VT,2011,1,1.38381
51,VA,2011,1,2.9572600000000002
53,WA,2011,1,1.49933
54,WV,2011,1,1.86333
55,WI,2011,1,0.968314
56,WY,2011,1,1.66418
HHS01,HHS01,2011,1,1.10338
HHS02,HHS02,2011,1,3.84467
HHS03,HHS03,2011,1,2.85319
HHS04,HHS04,2011,1,3.46983
HHS05,HHS05,2011,1,2.00566
HHS06,HHS06,2011,1,3.3615
HHS07,HHS07,2011,1,1.89725
HHS08,HHS08,2011,1,0.823493
HHS09,HHS09,2011,1,3.7118
HHS10,HHS10,2011,1,2.27398
US,US,2011,1,2.89874
01,AL,2011,2,8.77195
02,AK,2011,2,0.773827
04,AZ,2011,2,1.20505
05,AR,2011,2,3.35879
06,CA,2011,2,3.45411
08,CO,2011,2,0.938726
09,CT,2011,2,0.90294
10,DE,2011,2,0.851761
11,DC,2011,2,3.30514
12,FL,2011,2,2.09998
13,GA,2011,2,3.56684
15,HI,2011,2,2.54929
16,ID,2011,2,2.48797
17,IL,2011,2,3.10848
18,IN,2011,2,1.75639
19,IA,2011,2,0.489274
20,KS,2011,2,1.18033
21,KY,2011,2,1.31707
22,LA,2011,2,4.53166
23,ME,2011,2,0.575126
24,MD,2011,2,2.57638
25,MA,2011,2,1.04375
26,MI,2011,2,0.781235
27,MN,2011,2,1.46797
28,MS,2011,2,4.18288
29,MO,2011,2,1.93231
30,MT,2011,2,0.0960801
31,NE,2011,2,3.12827
32,NV,2011,2,2.99656
33,NH,2011,2,0.334691
34,NJ,2011,2,3.35861
35,NM,2011,2,3.27418
36,NY,2011,2,2.95065
37,NC,2011,2,1.6293
38,ND,2011,2,0.19106
39,OH,2011,2,0.930511
40,OK,2011,2,4.46221
41,OR,2011,2,1.22442
42,PA,2011,2,1.99424
44,RI,2011,2,0.600279
45,SC,2011,2,1.32368
46,SD,2011,2,1.56919
47,TN,2011,2,1.41304
48,TX,2011,2,3.37051
49,UT,2011,2,0.709202
50,VT,2011,2,1.87955
51,VA,2011,2,2.58309
53,WA,2011,2,2.03889
54,WV,2011,2,1.3074
55,WI,2011,2,1.08972
56,WY,2011,2,1.04161
HHS01,HHS01,2011,2,0.905161
HHS02,HHS02,2011,2,3.0764
HHS03,HHS03,2011,2,2.21412
HHS04,HHS04,2011,2,2.69958
HHS05,HHS05,2011,2,1.61948
HHS06,HHS06,2011,2,3.60859
HHS07,HHS07,2011,2,1.61555
HHS08,HHS08,2011,2,0.81116
HHS09,HHS09,2011,2,3.09164
HHS10,HHS10,2011,2,1.77933
US,US,2011,2,2.44132
01,AL,2011,3,12.5031
02,AK,2011,3,1.14057
04,AZ,2011,3,1.8145
05,AR,2011,3,5.1314
06,CA,2011,3,3.9519
08,CO,2011,3,1.21372
